  B0TE  [ui16]  1793 (bytes 07 01)
  B0TF  [ui16]  65535 (bytes ff ff)
  B0TI  [ui32]  4294901760 (bytes ff ff 00 00)
  B0TP  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  B0Ti  [ui32]  0 (bytes 00 00 00 00)
  B0UC  [ui16]  24064 (bytes 5e 00)
  B0VC  [si16]  32524 (bytes 7f 0c)
  B0WD  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  B1SS  [ui16]  5376 (bytes 15 00)
  B1TI  [flt ]  10 (bytes 00 00 20 41)
  B1WI  [flt ]  10 (bytes 00 00 20 41)
  BAAC  [si64]  (bytes b9 eb c6 ff ff ff ff ff)
  BACC  [ui64]  (bytes b9 0b 00 00 00 00 00 00)
  BAPS  [flag]  true (bytes 01)
  BBAD  [flag]  false (bytes 00)
  BBAM  [ui32]  16777216 (bytes 01 00 00 00)
  BC1A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC1I  [si32]  0 (bytes 00 00 00 00)
  BC1V  [ui16]  39696 (bytes 9b 10)
  BC2A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC2I  [si32]  0 (bytes 00 00 00 00)
  BCBL  [ui32]  4294901760 (bytes ff ff 00 00)
  BCCA  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  BCDC  [ui8 ]  0 (bytes 00)
  BCDD  [flag]  false (bytes 00)
  BCDW  [ui8 ]  0 (bytes 00)
  BCF0  [ui32]  0 (bytes 00 00 00 00)
  BCFP  [ui32]  0 (bytes 00 00 00 00)
  BCFR  [hex_]  0 (bytes 00)
  BCFW  [hex_]  0 (bytes 00)
  BDAQ  [ui16]  0 (bytes 00 00)
  BDBI  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BDD1  [ui16]  20743 (bytes 51 07)
  BDDE  [ui16]  46592 (bytes b6 00)
  BDFV  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  BFC1  [ui16]  36901 (bytes 90 25)
  BFC2  [ui16]  36901 (bytes 90 25)
  BFFH  [hex_]  3731063575 (bytes de 63 83 17 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BFFS  [hex_]  4278190080 (bytes ff 00 00 00 00 00 00 00)
  BFLE  [ui32]  436207616 (bytes 1a 00 00 00)
  BFLF  [ui16]  0 (bytes 00 00)
  BFLV  [ui8 ]  0 (bytes 00)
  BFS0  [ui8 ]  182 (bytes b6)
  BGRA  [ui16]  0 (bytes 00 00)
  BHT0  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT1  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT2  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT3  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT4  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT5  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT6  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT7  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT8  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT9  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTA  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
