  B1WI  [flt ]  10 (bytes 00 00 20 41)
  B2AT  [ui16]  8961 (bytes 23 01)
  BAAC  [si64]  (bytes 86 e0 e9 00 00 00 00 00)
  BACC  [ui64]  (bytes 54 86 19 00 00 00 00 00)
  BAPS  [flag]  true (bytes 01)
  BAST  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 c3 e4 00 12 86 03 01 02)
  BBAD  [flag]  false (bytes 00)
  BC1A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC1I  [si32]  -1795162112 (bytes 95 00 00 00)
  BC1V  [ui16]  47888 (bytes bb 10)
  BC2A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC2I  [si32]  -1795162112 (bytes 95 00 00 00)
  BC2V  [ui16]  41488 (bytes a2 10)
  BC3I  [si32]  1258291200 (bytes 4b 00 00 00)
  BC3V  [ui16]  40976 (bytes a0 10)
  BC4I  [si32]  1241513984 (bytes 4a 00 00 00)
  BCBL  [ui32]  4294901760 (bytes ff ff 00 00)
  BCCA  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  BCD1  [ui8 ]  0 (bytes 00)
  BCD2  [ui8 ]  0 (bytes 00)
  BCDC  [ui8 ]  0 (bytes 00)
  BCDD  [flag]  false (bytes 00)
  BCDW  [ui8 ]  0 (bytes 00)
  BCF0  [ui32]  0 (bytes 00 00 00 00)
  BCFP  [ui32]  0 (bytes 00 00 00 00)
  BCFR  [hex_]  0 (bytes 00)
  BCFW  [hex_]  0 (bytes 00)
  BCHT  [hex_]  0 (bytes 00)
  BCMV  [ui16]  47888 (bytes bb 10)
  BCMW  [ui16]  40976 (bytes a0 10)
  BCRS  [ui8 ]  0 (bytes 00)
  BCRT  [ui8 ]  0 (bytes 00)
  BCS1  [ui8 ]  0 (bytes 00)
  BCS2  [ui8 ]  0 (bytes 00)
  BCST  [ui8 ]  0 (bytes 00)
  BDAQ  [ui16]  0 (bytes 00 00)
  BDBI  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BDD1  [ui8 ]  6 (bytes 06)
  BDD2  [ui8 ]  6 (bytes 06)
  BDD3  [ui8 ]  6 (bytes 06)
  BDFV  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  BFC1  [ui16]  54031 (bytes d3 0f)
  BFC2  [ui16]  54031 (bytes d3 0f)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BFLV  [ui8 ]  0 (bytes 00)
  BFS0  [ui8 ]  1 (bytes 01)
  BFWC  [ui16]  52769 (bytes ce 21)
  BHT0  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT1  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT2  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT3  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT4  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT5  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT6  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT7  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT8  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT9  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTA  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTB  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHTL  [flag]  false (bytes 00)
  BIMX  [ui16]  18251 (bytes 47 4b)
  BIPD  [ui16]  17408 (bytes 44 00)
  BISS  [si16]  14074 (bytes 36 fa)
  BITV  [ui16]  10275 (bytes 28 23)
  BL0A  [hex_]  47493425 (bytes 02 d4 b1 31 00 07 48 56 00 00 00 00 00 00 00 00 02 db f9 87 80 00 c7 e4 40 b2 00 00 00 00 00 00)
