  B0R2  [hex_]  14221379 (bytes 00 d9 00 43 00 37 00 3f 00 50 00 33 00 3e 00 3c 00 45 00 4a 00 52 00 5b 00 80 01 07 01 b3 00 00)
  B0R3  [hex_]  15532099 (bytes 00 ed 00 43 00 36 00 3c 00 4c 00 32 00 3d 00 46 00 54 00 61 00 61 00 66 00 9c 01 33 01 f4 00 00)
  B0RC  [ui16]  62464 (bytes f4 00)
  B0RI  [ui16]  0 (bytes 00 00)
  B0RM  [ui16]  7557 (bytes 1d 85)
  B0RS  [si16]  0 (bytes 00 00)
  B0RV  [ui16]  22578 (bytes 58 32)
  B0S1  [si16]  0 (bytes 00 00)
  B0SC  [si8 ]  0 (bytes 00)
  B0SR  [si16]  0 (bytes 00 00)
  B0SS  [ui16]  0 (bytes 00 00)
  B0TC  [si16]  0 (bytes 00 00)
  B0TE  [ui16]  36696 (bytes 8f 58)
  B0TF  [ui16]  65535 (bytes ff ff)
  B0TI  [ui32]  4294901760 (bytes ff ff 00 00)
  B0Ti  [ui32]  0 (bytes 00 00 00 00)
  B0UC  [ui16]  25600 (bytes 64 00)
  B1AT  [ui16]  257 (bytes 01 01)
  B1SS  [ui16]  0 (bytes 00 00)
  B1TI  [flt ]  10 (bytes 00 00 20 41)
  B1WI  [flt ]  10 (bytes 00 00 20 41)
  B2AT  [ui16]  769 (bytes 03 01)
  BAAC  [si64]  (bytes a6 58 22 00 00 00 00 00)
  BACC  [ui64]  (bytes 98 79 0f 00 00 00 00 00)
  BAPS  [flag]  true (bytes 01)
  BAST  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 c3 e4 00 12 cd 00 00 02)
  BBAD  [flag]  false (bytes 00)
  BC1A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC1I  [si32]  1879048192 (bytes 70 00 00 00)
  BC1V  [ui16]  38672 (bytes 97 10)
  BC2A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC2I  [si32]  1426063360 (bytes 55 00 00 00)
  BC2V  [ui16]  38928 (bytes 98 10)
  BC3I  [si32]  1627389952 (bytes 61 00 00 00)
  BC3V  [ui16]  37648 (bytes 93 10)
  BC4I  [si32]  1677721600 (bytes 64 00 00 00)
  BC5I  [si32]  1610612736 (bytes 60 00 00 00)
  BC6I  [si32]  1694498816 (bytes 65 00 00 00)
  BCBL  [ui32]  4294901760 (bytes ff ff 00 00)
  BCCA  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  BCDC  [ui8 ]  0 (bytes 00)
  BCDD  [flag]  false (bytes 00)
  BCDW  [ui8 ]  0 (bytes 00)
  BCF0  [ui32]  0 (bytes 00 00 00 00)
  BCFP  [ui32]  0 (bytes 00 00 00 00)
  BCFR  [hex_]  0 (bytes 00)
  BCFW  [hex_]  0 (bytes 00)
  BCHT  [hex_]  0 (bytes 00)
  BCMV  [ui16]  38928 (bytes 98 10)
  BCMW  [ui16]  37648 (bytes 93 10)
  BCST  [ui8 ]  0 (bytes 00)
  BDAQ  [ui16]  0 (bytes 00 00)
  BDBI  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BDD1  [ui8 ]  5 (bytes 05)
  BDD2  [ui8 ]  5 (bytes 05)
  BDD3  [ui8 ]  5 (bytes 05)
