  B0R3  [hex_]  5636118 (bytes 00 56 00 16 00 1c 00 26 00 45 00 2b 00 33 00 35 00 3f 00 4c 00 4c 00 4c 00 81 01 99 03 01 00 00)
  B0RC  [ui16]  62464 (bytes f4 00)
  B0RI  [ui16]  14120 (bytes 37 28)
  B0RM  [ui16]  6947 (bytes 1b 23)
  B0RS  [si16]  0 (bytes 00 00)
  B0RV  [ui16]  25395 (bytes 63 33)
  B0S1  [si16]  0 (bytes 00 00)
  B0SC  [si8 ]  0 (bytes 00)
  B0SR  [si16]  0 (bytes 00 00)
  B0SS  [ui16]  0 (bytes 00 00)
  B0TC  [si16]  0 (bytes 00 00)
  B0TE  [ui16]  11779 (bytes 2e 03)
  B0TF  [ui16]  65535 (bytes ff ff)
  B0TI  [ui32]  4294901760 (bytes ff ff 00 00)
  B0Ti  [ui32]  0 (bytes 00 00 00 00)
  B0UC  [ui16]  21504 (bytes 54 00)
  B1AT  [ui16]  8193 (bytes 20 01)
  B1SS  [ui16]  0 (bytes 00 00)
  B1TI  [flt ]  10 (bytes 00 00 20 41)
  B1WI  [flt ]  10 (bytes 00 00 20 41)
  B2AT  [ui16]  8193 (bytes 20 01)
  BAAC  [si64]  (bytes 4f e9 a6 ff ff ff ff ff)
  BACC  [ui64]  (bytes 67 68 04 00 00 00 00 00)
  BAPS  [flag]  true (bytes 01)
  BAST  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 c3 e4 00 02 03 00 01 00)
  BBAD  [flag]  false (bytes 00)
  BC1A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC1I  [si32]  0 (bytes 00 00 00 00)
  BC1V  [ui16]  3344 (bytes 0d 10)
  BC2A  [si64]  (bytes 00 00 00 00 00 00 00 00)
  BC2I  [si32]  0 (bytes 00 00 00 00)
  BC2V  [ui16]  2064 (bytes 08 10)
  BC3I  [si32]  0 (bytes 00 00 00 00)
  BC3V  [ui16]  3344 (bytes 0d 10)
  BC4I  [si32]  0 (bytes 00 00 00 00)
  BC5I  [si32]  0 (bytes 00 00 00 00)
  BC6I  [si32]  0 (bytes 00 00 00 00)
  BCBL  [ui32]  4294901760 (bytes ff ff 00 00)
  BCCA  [ui64]  (bytes 00 00 00 00 00 00 00 00)
  BCD1  [ui8 ]  0 (bytes 00)
  BCD2  [ui8 ]  0 (bytes 00)
  BCD3  [ui8 ]  0 (bytes 00)
  BCD4  [ui8 ]  0 (bytes 00)
  BCD5  [ui8 ]  0 (bytes 00)
  BCD6  [ui8 ]  0 (bytes 00)
  BCDC  [ui8 ]  0 (bytes 00)
  BCDD  [flag]  false (bytes 00)
  BCDW  [ui8 ]  0 (bytes 00)
  BCF0  [ui32]  0 (bytes 00 00 00 00)
  BCFP  [ui32]  0 (bytes 00 00 00 00)
  BCFR  [hex_]  0 (bytes 00)
  BCFW  [hex_]  0 (bytes 00)
  BCHT  [hex_]  0 (bytes 00)
  BCMV  [ui16]  3344 (bytes 0d 10)
  BCMW  [ui16]  2064 (bytes 08 10)
  BCRS  [ui8 ]  0 (bytes 00)
  BCRT  [ui8 ]  0 (bytes 00)
  BCS1  [ui8 ]  0 (bytes 00)
  BCS2  [ui8 ]  0 (bytes 00)
  BCS3  [ui8 ]  0 (bytes 00)
  BCS4  [ui8 ]  0 (bytes 00)
  BCST  [ui8 ]  0 (bytes 00)
  BDAQ  [ui16]  0 (bytes 00 00)
  BDBI  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BDD1  [ui8 ]  20 (bytes 14)
  BDD2  [ui8 ]  20 (bytes 14)
  BDD3  [ui8 ]  20 (bytes 14)
  BDFV  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  BFC1  [ui16]  61473 (bytes f0 21)
  BFC2  [ui16]  61473 (bytes f0 21)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BFLV  [ui8 ]  0 (bytes 00)
  BFS0  [ui8 ]  1 (bytes 01)
  BFWC  [ui16]  4122 (bytes 10 1a)
  BHT0  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT1  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  BHT2  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
